sample,VisualFidelity,Contrastiveness,VFxContrastiveness,"Min(VF,Contrast)","Avg(VF,Contrast)",UniformRandom,FlippedProd,FlippedMin,FlippedAvg,Support,Informative,Commonsense_Plausibility,mean_ece
1,0.42643650795,0.33456966730157317,0.3148106298402346,0.29927107415678417,0.30052219058824015,0.307608733116661,0.31560695489644175,0.29002504646911165,0.340603970407047,0.310350044321549,0.5099999999999999,0.16156833109000002,0.42643650795
2,0.41930952383000003,0.3623002118025116,0.3332833890820471,0.32762258755909784,0.2603046886192643,0.26533208223401306,0.3255874897351168,0.30574848678789723,0.3289695595077572,0.32748338288467493,0.5,0.17970137627,0.41930952383000003
3,0.43383333335,0.3468635501660988,0.32862202212124386,0.3264656700374916,0.2906193100748548,0.2715068118180761,0.33405137324996687,0.2914624170741159,0.3248454547959835,0.274471448030963,0.5099999999999999,0.21621051934000002,0.43383333335
4,0.4221904762000001,0.3014536505150567,0.2587694238006404,0.2617407185930859,0.28464515144397945,0.2318823616627865,0.35583327481749266,0.37732980685072215,0.3857105248374231,0.2676037276869465,0.5,0.18988624216999994,0.4221904762000001
5,0.44721428572,0.28827406857444554,0.26943669590543995,0.26709160261107817,0.3170866592078234,0.2923497123457486,0.43199345796710537,0.41701839717821626,0.41918706487425356,0.26566668904953983,0.5,0.20493007598,0.44721428572
6,0.45558333333999995,0.3478335427624011,0.3107088988874995,0.3332873664518848,0.3199161949161386,0.19626559358549012,0.3290546976582421,0.33580523148126346,0.39152365180262805,0.27178374144932604,0.5299999999999999,0.17094263107000005,0.45558333333999995
7,0.4335714285900001,0.35592158320033496,0.32453018790624727,0.3321783106035225,0.3068552619752254,0.24496781291735736,0.33135613202164377,0.32083381227649177,0.34812893581597854,0.2669328863696137,0.5099999999999999,0.18450435219,0.4335714285900001
8,0.41204761906000004,0.33818499976067445,0.2887064796433209,0.30150454799908233,0.2733666541549543,0.29436861409613574,0.3253820493644241,0.3385459368526787,0.3654697217838884,0.2595407356748183,0.5099999999999999,0.22013263434,0.41204761906000004
9,0.44316666668000004,0.3313571711302067,0.3237233371796801,0.3155055850811172,0.2984094861164695,0.15899439103438803,0.3606019488728646,0.3479578489763615,0.33592592387438586,0.31958053136564557,0.5099999999999999,0.21516519723000002,0.44316666668000004
10,0.44672619048999995,0.3701424174029397,0.332287215187235,0.3473328764406424,0.31614902404608214,0.2257842575535363,0.34160657748784246,0.34206118725191303,0.3526149840828016,0.3510723532162956,0.5,0.11721458789000003,0.44672619048999995
11,0.42679365081,0.38427004938652604,0.3605849758318407,0.3453060741226562,0.2970634479910105,0.31105752844693874,0.30157161111553576,0.30301955696603294,0.3294948651352543,0.3334918236307567,0.5,0.18265620229999996,0.42679365081
